p cnf 36 228
1 2 3 4 5 6 0
7 8 9 10 11 12 0
13 14 15 16 17 18 0
19 20 21 22 23 24 0
25 26 27 28 29 30 0
31 32 33 34 35 36 0
-1 0
-8 0
-15 0
-22 0
-29 0
-36 0
-1 -1 1 0
-1 -2 2 0
-1 -3 3 0
-1 -4 4 0
-1 -5 5 0
-1 -6 6 0
-2 -7 1 0
-2 -8 2 0
-2 -9 3 0
-2 -10 4 0
-2 -11 5 0
-2 -12 6 0
-3 -13 1 0
-3 -14 2 0
-3 -15 3 0
-3 -16 4 0
-3 -17 5 0
-3 -18 6 0
-4 -19 1 0
-4 -20 2 0
-4 -21 3 0
-4 -22 4 0
-4 -23 5 0
-4 -24 6 0
-5 -25 1 0
-5 -26 2 0
-5 -27 3 0
-5 -28 4 0
-5 -29 5 0
-5 -30 6 0
-6 -31 1 0
-6 -32 2 0
-6 -33 3 0
-6 -34 4 0
-6 -35 5 0
-6 -36 6 0
-7 -1 7 0
-7 -2 8 0
-7 -3 9 0
-7 -4 10 0
-7 -5 11 0
-7 -6 12 0
-8 -7 7 0
-8 -8 8 0
-8 -9 9 0
-8 -10 10 0
-8 -11 11 0
-8 -12 12 0
-9 -13 7 0
-9 -14 8 0
-9 -15 9 0
-9 -16 10 0
-9 -17 11 0
-9 -18 12 0
-10 -19 7 0
-10 -20 8 0
-10 -21 9 0
-10 -22 10 0
-10 -23 11 0
-10 -24 12 0
-11 -25 7 0
-11 -26 8 0
-11 -27 9 0
-11 -28 10 0
-11 -29 11 0
-11 -30 12 0
-12 -31 7 0
-12 -32 8 0
-12 -33 9 0
-12 -34 10 0
-12 -35 11 0
-12 -36 12 0
-13 -1 13 0
-13 -2 14 0
-13 -3 15 0
-13 -4 16 0
-13 -5 17 0
-13 -6 18 0
-14 -7 13 0
-14 -8 14 0
-14 -9 15 0
-14 -10 16 0
-14 -11 17 0
-14 -12 18 0
-15 -13 13 0
-15 -14 14 0
-15 -15 15 0
-15 -16 16 0
-15 -17 17 0
-15 -18 18 0
-16 -19 13 0
-16 -20 14 0
-16 -21 15 0
-16 -22 16 0
-16 -23 17 0
-16 -24 18 0
-17 -25 13 0
-17 -26 14 0
-17 -27 15 0
-17 -28 16 0
-17 -29 17 0
-17 -30 18 0
-18 -31 13 0
-18 -32 14 0
-18 -33 15 0
-18 -34 16 0
-18 -35 17 0
-18 -36 18 0
-19 -1 19 0
-19 -2 20 0
-19 -3 21 0
-19 -4 22 0
-19 -5 23 0
-19 -6 24 0
-20 -7 19 0
-20 -8 20 0
-20 -9 21 0
-20 -10 22 0
-20 -11 23 0
-20 -12 24 0
-21 -13 19 0
-21 -14 20 0
-21 -15 21 0
-21 -16 22 0
-21 -17 23 0
-21 -18 24 0
-22 -19 19 0
-22 -20 20 0
-22 -21 21 0
-22 -22 22 0
-22 -23 23 0
-22 -24 24 0
-23 -25 19 0
-23 -26 20 0
-23 -27 21 0
-23 -28 22 0
-23 -29 23 0
-23 -30 24 0
-24 -31 19 0
-24 -32 20 0
-24 -33 21 0
-24 -34 22 0
-24 -35 23 0
-24 -36 24 0
-25 -1 25 0
-25 -2 26 0
-25 -3 27 0
-25 -4 28 0
-25 -5 29 0
-25 -6 30 0
-26 -7 25 0
-26 -8 26 0
-26 -9 27 0
-26 -10 28 0
-26 -11 29 0
-26 -12 30 0
-27 -13 25 0
-27 -14 26 0
-27 -15 27 0
-27 -16 28 0
-27 -17 29 0
-27 -18 30 0
-28 -19 25 0
-28 -20 26 0
-28 -21 27 0
-28 -22 28 0
-28 -23 29 0
-28 -24 30 0
-29 -25 25 0
-29 -26 26 0
-29 -27 27 0
-29 -28 28 0
-29 -29 29 0
-29 -30 30 0
-30 -31 25 0
-30 -32 26 0
-30 -33 27 0
-30 -34 28 0
-30 -35 29 0
-30 -36 30 0
-31 -1 31 0
-31 -2 32 0
-31 -3 33 0
-31 -4 34 0
-31 -5 35 0
-31 -6 36 0
-32 -7 31 0
-32 -8 32 0
-32 -9 33 0
-32 -10 34 0
-32 -11 35 0
-32 -12 36 0
-33 -13 31 0
-33 -14 32 0
-33 -15 33 0
-33 -16 34 0
-33 -17 35 0
-33 -18 36 0
-34 -19 31 0
-34 -20 32 0
-34 -21 33 0
-34 -22 34 0
-34 -23 35 0
-34 -24 36 0
-35 -25 31 0
-35 -26 32 0
-35 -27 33 0
-35 -28 34 0
-35 -29 35 0
-35 -30 36 0
-36 -31 31 0
-36 -32 32 0
-36 -33 33 0
-36 -34 34 0
-36 -35 35 0
-36 -36 36 0
